cInvCName,cqty,cmonth
Sandisk MIV,220,200604
Sandisk MIV,12680,200608
Sandisk MIV,21478,200609
Sandisk MIV,44340,200610
Sandisk MIV,6926,200611
Sandisk MIV,15197,200612
Sandisk MIV,22,200701
Sandisk MIV,5750,200704
Sandisk MIV,18,200705
Sandisk MIV,120,200706
Sandisk MIV,30,200707
Sandisk MIV,150,200708
Sandisk MIV,101,200709
Sandisk MIV,12724,200710
Sandisk MIV,48392,200711
Sandisk MIV,14560,200712
Sandisk MIV,100,200801
Sandisk MIV,2,200803
Sandisk MIV,20,200805
Sandisk MIV,373,200807
Sandisk MIV,1307,200808
Sandisk MIV,1128,200809
Sandisk MIV,5121,200810
Sandisk MIV,340,200811
Sandisk MIV,12000,200812
Sandisk MIV,140,200902
Sandisk MIV,5670,200903
Sandisk MIV,6090,200904
Sandisk MIV,1720,200905
Sandisk MIV,1174,200906
Sandisk MIV,998,200907
Sandisk MIV,900,200909
Sandisk MIV,183,200910
Sandisk MIV,405,200911
Sandisk MIV,70,200912
Sandisk MIV,555,201001
Sandisk MIV,982,201002
Sandisk MIV,10122,201003
Sandisk MIV,200,201006
Sandisk MIV,420,201007
Sandisk MIV,1738,201008
Sandisk MIV,220,201009
Sandisk MIV,38,201010
Sandisk MIV,2635,201011
Sandisk MIV,70,201012
Sandisk MIV,13976,201101
Sandisk MIV,85,201103
Sandisk MIV,270,201104
Sandisk MIV,120,201105
Sandisk MIV,10732,201106
Sandisk MIV,800,201107
Sandisk MIV,3843,201108
Sandisk MIV,990,201109
Sandisk MIV,9170,201110
Sandisk MIV,130,201111
Sandisk MIV,20,201112
Sandisk MIV,460,201201
Sandisk MIV,500,201202
Sandisk MIV,110710,201203
Sandisk MIV,330,201204
Sandisk MIV,3192,201205
Sandisk MIV,2545,201206
Sandisk MIV,3465,201207
Sandisk MIV,4180,201208
Sandisk MIV,45862,201209
Sandisk MIV,9120,201210
Sandisk MIV,10880,201211
Sandisk MIV,2160,201212
Sandisk MIV,40,201301
Sandisk MIV,5,201302
Sandisk MIV,26720,201303
Sandisk MIV,1700,201304
Sandisk MIV,142950,201305
Sandisk MIV,110,201306
Sandisk MIV,9190,201307
Sandisk MIV,5720,201308
Sandisk MIV,7796,201309
Sandisk MIV,8720,201310
Sandisk MIV,1025192,201311
Sandisk MIV,410,201312
Sandisk MIV,512,201401
Sandisk MIV,2430,201402
Sandisk MIV,3780,201403
Sandisk MIV,3595,201404
Sandisk MIV,29560,201405
Sandisk MIV,18720,201406
Sandisk MIV,19200,201407
Sandisk MIV,612291,201408
Sandisk MIV,16872,201409
Sandisk MIV,50703,201410
Sandisk MIV,627305,201411
Sandisk MIV,1752748,201412
Sandisk MIV,1382708,201501
Sandisk MIV,175167,201502
Sandisk MIV,596694,201503
Sandisk MIV,405744,201504
Sandisk MIV,365349,201505
Sandisk MIV,792697,201506
Sandisk MIV,591135,201507
Sandisk MIV,900885,201508
Sandisk MIV,1718942,201509
Sandisk MIV,535155,201510
Sandisk MIV,1022245,201511
Sandisk MIV,981435,201512
Sandisk MIV,957844,201601
Sandisk MIV,294460,201602
Sandisk MIV,534993,201603
Sandisk MIV,434091,201604
Sandisk MIV,610302,201605
Sandisk MIV,634298,201606
Sandisk MIV,886099,201607
Sandisk MIV,909222,201608
Sandisk MIV,922171,201609
Sandisk MIV,507690,201610
Sandisk MIV,852160,201611
Sandisk MIV,731011,201612
Sandisk MIV,512781,201701
Sandisk MIV,797120,201702
Sandisk MIV,764709,201703
Sandisk MIV,334379,201704
Sandisk MIV,464195,201705
Sandisk MIV,517885,201706
Sandisk MIV,721013,201707
Sandisk MIV,1302127,201708
Sandisk MIV,1151710,201709
Sandisk MIV,1442265,201710
Sandisk MIV,2792783,201711
Sandisk MIV,3153770,201712
Sandisk MIV,1218140,201801
Sandisk MIV,1121960,201802
Sandisk MIV,1975350,201803
Sandisk MIV,1335320,201804
Sandisk MIV,3025790,201805
Sandisk MIV,2797150,201806
Sandisk MIV,500510,201807
Sandisk MIV,1265260,201808
Sandisk MIV,1087580,201809
Sandisk MIV,1780830,201810
Sandisk MIV,1221256,201811
Sandisk MIV,1467740,201812
Sandisk MIV,1505795,201901
Sandisk MIV,741404,201902
Sandisk MIV,1023743,201903
Sandisk MIV,1760044,201904
Sandisk MIV,918268,201905
Sandisk MIV,627662,201906
Sandisk MIV,835837,201907
Sandisk MIV,709165,201908
